
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)	
2675.811	28.21699999999999862	1872.855	3	5520	2	2943.563	90	2943.563	270.701999999999997	2943.563	8	2943.563	288.7019999999999967
2700.276	39.78600000000000117	1893.414	2	5580	2	2958.323	89	2958.323	312.8550000000000175	2958.323	5	2958.323	324.8550000000000175
2783.661	0	1897.105	1	5640	0	3064.5	93	3064.5	272.8389999999999412	3064.5	3	3064.5	280.8389999999999412
2790.333	0	1899.836	2	5700	0	3096.006	96	3096.006	268.613999999999918	3096.006	2	3096.006	274.613999999999918
2793.272	0	1910.22	3	5760	0	3101.412	94	3101.412	301.07899999999995	3101.412	4	3101.412	311.07899999999995
2821.392	27.2819999999999964	1918.487	4	5820	0	3108.716	95	3108.716	295.4439999999999587	3108.716	9	3108.716	315.4439999999999587
2860.166	55.4899999999999946	1932.247	5	5880	0	3163.101	97	3163.101	298.9349999999999445	3163.101	1	3163.101	302.9349999999999445
2904.535	48.8559999999999944	1965.202	6	5940	0	3186.55	98	3186.55	280.0149999999999852	3186.55	0	3186.55	282.0149999999999852
2908.288	10.5939999999999976	1989.294	7	6000	0	3199.443	99	3199.443	275.1549999999999717	3199.443	7	3199.443	291.1549999999999717
2938.761	24.89000000000000047	1992.652	8	6060	0	3211.997	102	3211.997	234.7099999999999785	3211.997	5	3211.997	246.7099999999999785
2950.873	0	1996.105	7	6120	0	3212.996	100	3212.996	260.2350000000000127	3212.996	6	3212.996	274.2350000000000127
2965.287	0	2000.895	8	6180	0	3226.509	101	3226.509	257.6359999999999662	3226.509	8	3226.509	275.6359999999999662
3064.5	53.6529999999999914	2005.104	9	6240	0	3333.296	103	3333.296	260.7959999999999347	3333.296	3	3333.296	268.7959999999999347
3096.006	69.5739999999999836	2027.732	8	6300	0	3350.349	104	3350.349	248.34299999999996	3350.349	2	3350.349	254.34299999999996
3101.412	71.436999999999983	2069.938	9	6360	0	3367.773	105	3367.773	256.360999999999989	3367.773	4	3367.773	266.360999999999989
3108.716	72.41299999999998205	2081.722	8	6420	0	3370.554	106	3370.554	241.8379999999999647	3370.554	9	3370.554	261.8379999999999647
3163.101	94.0010000000000044	2105.973	7	6480	2	3432.65	108	3432.65	244.0999999999999652	3432.65	0	3432.65	246.0999999999999652
3186.55	97.3569999999999988	2113.632	6	6540	2	3445.543	109	3445.543	230.0999999999999652	3445.543	7	3445.543	246.0999999999999652
3199.443	44.61099999999998987	2126.008	5	6600	3	3453.912	107	3453.912	286.8109999999999207	3453.912	1	3453.912	290.8109999999999205
3211.997	55.68800000000000215	2126.161	6	6660	4	3504.523	110	3504.523	280.5259999999999525	3504.523	5	3504.523	292.5259999999999525
3212.996	13.23000000000000036	2149.7	5	6720	2	3551.939	112	3551.939	270.225999999999998	3551.939	8	3551.939	288.2259999999999977
3263.713	0	2152.768	4	6780	1	3554.501	111	3554.501	327.504999999999995	3554.501	6	3554.501	341.504999999999994
