
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220621-02:57:15-6016)	
233168.569	1231.106999999999968	117033.211	26			233394.315	8314	233394.315	50.3250000000000027	233394.315	8	233394.315	68.3249999999999883		
233211.876	1220.806999999999785	117039.858	25			233394.612	8308	233394.612	170.7359999999999891	233394.612	5	233394.612	182.7359999999999891		
233213.783	1214.679999999999831	117055.079	26			233422.018	8309	233422.018	200.2350000000000128	233422.018	3	233422.018	208.2350000000000128		
233214.151	1192.902999999999788	117056.977	27			233487.875	8316	233487.875	127.4579999999999981	233487.875	1	233487.875	131.4579999999999695		
233224.264	1192.387999999999913	117059.028	28			233584.991	8315	233584.991	223.6289999999999616	233584.991	9	233584.991	243.6289999999999612		
233308.269	1254.730000000000013	117071.039	27			233587.044	8320	233587.044	95.1689999999999823	233587.044	1	233587.044	99.1689999999999823		
233311.689	1234.436999999999893	117094.394	26			233594.912	8318	233594.912	188.3000000000000108	233594.912	5	233594.912	200.3000000000000108		
233325.99	1201.255999999999855	117097.149	25			233617.581	8317	233617.581	205.2659999999999618	233617.581	8	233617.581	223.2659999999999618		
233341.362	1168.67000000000007	117153.839	24			233635.863	8313	233635.863	318.1739999999999767	233635.863	2	233635.863	324.1739999999999767		
233356.417	1116.746999999999839	117173.58	25			233640.256	8321	233640.256	35.2650000000000004	233640.256	9	233640.256	55.2650000000000004		
